entry_dt,exit_dt,direction,entry_price,exit_price,pnl,mfe_usd,mae_usd,bars_held,mins_held,exit_signal,year,month,dow,entry_hour,is_win
2026-01-22 10:00:00,2026-01-22 10:35:00,SHORT,25561.0,25633.75,-146.74,52.5,-151.0,7,35,EMA Break Exit,2026,2026-01,Thursday,10,False
2026-01-22 11:20:00,2026-01-22 13:15:00,LONG,25672.0,25694.0,42.76,98.5,-39.0,23,115,EMA Break Exit,2026,2026-01,Thursday,11,True
2026-01-22 15:05:00,2026-01-22 15:55:00,SHORT,25636.75,25661.5,-50.74,105.0,-57.0,10,50,EOD Close,2026,2026-01,Thursday,15,False
2026-01-23 10:00:00,2026-01-23 12:00:00,LONG,25711.5,25794.25,164.26,268.0,-80.0,24,120,EMA Break Exit,2026,2026-01,Friday,10,True
2026-01-23 12:50:00,2026-01-23 13:20:00,SHORT,25694.0,25752.25,-117.74,22.5,-139.0,6,30,EMA Break Exit,2026,2026-01,Friday,12,False
2026-01-26 13:35:00,2026-01-26 13:40:00,LONG,25902.75,25895.75,-15.24,5.5,-21.5,1,5,EMA Cross Stop,2026,2026-01,Monday,13,False
2026-01-27 10:05:00,2026-01-27 12:00:00,LONG,26066.25,26077.75,21.76,81.5,-57.0,23,115,EMA Break Exit,2026,2026-01,Tuesday,10,True
2026-01-27 13:35:00,2026-01-27 14:05:00,LONG,26084.5,26078.5,-13.24,25.0,-20.5,6,30,EMA Break Exit,2026,2026-01,Tuesday,13,False
2026-01-28 10:30:00,2026-01-28 12:15:00,SHORT,26195.25,26161.25,66.76,189.0,-66.0,21,105,EMA Break Exit,2026,2026-01,Wednesday,10,True
2026-01-28 12:40:00,2026-01-28 12:55:00,SHORT,26130.5,26141.25,-22.74,22.0,-68.5,3,15,EMA Break Exit,2026,2026-01,Wednesday,12,False
2026-01-29 13:25:00,2026-01-29 14:30:00,LONG,25846.25,25845.5,-2.74,104.5,-52.5,13,65,Time Stop,2026,2026-01,Thursday,13,False
2026-01-30 11:10:00,2026-01-30 13:50:00,SHORT,25832.25,25719.75,223.76,527.0,-54.0,32,160,EMA Break Exit,2026,2026-01,Friday,11,True
2026-01-30 15:15:00,2026-01-30 15:45:00,SHORT,25595.5,25714.5,-239.24,49.0,-242.0,6,30,EMA Break Exit,2026,2026-01,Friday,15,False
2026-02-04 10:00:00,2026-02-04 13:55:00,SHORT,25149.0,24923.75,449.26,730.0,-313.5,47,235,EMA Break Exit,2026,2026-02,Wednesday,10,True
2026-02-05 10:15:00,2026-02-05 11:15:00,SHORT,24639.0,24676.25,-75.74,204.0,-124.0,12,60,Time Stop,2026,2026-02,Thursday,10,False
2026-02-05 11:35:00,2026-02-05 12:55:00,LONG,24792.75,24782.5,-21.74,190.0,-140.0,16,80,Time Stop,2026,2026-02,Thursday,11,False
2026-02-06 10:35:00,2026-02-06 14:15:00,LONG,24913.75,25075.0,321.26,420.0,-187.5,44,220,EMA Break Exit,2026,2026-02,Friday,10,True
2026-02-06 15:25:00,2026-02-06 15:55:00,LONG,25110.0,25146.5,71.76,223.0,-21.5,6,30,EOD Close,2026,2026-02,Friday,15,True
2026-02-10 10:10:00,2026-02-10 11:10:00,LONG,25391.0,25376.75,-29.74,95.5,-86.5,12,60,Time Stop,2026,2026-02,Tuesday,10,False
2026-02-10 11:40:00,2026-02-10 12:15:00,SHORT,25329.75,25382.0,-105.74,49.5,-112.0,7,35,EMA Break Exit,2026,2026-02,Tuesday,11,False
